"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 20 09:33:55 UTC 2023","Mon Feb 20 09:33:55 UTC 2023","409","","GET /bookStore/v1/book","","GET /bookStore/v1/book","Gets book (9781491904244) info (200)","Gets book (9781491904244) info (200)",""
"passed","Mon Feb 20 09:33:53 UTC 2023","Mon Feb 20 09:33:54 UTC 2023","452","","GET /bookStore/v1/book","","GET /bookStore/v1/book","Gets book (9781449325862) info (200)","Gets book (9781449325862) info (200)",""
"passed","Mon Feb 20 09:34:03 UTC 2023","Mon Feb 20 09:34:03 UTC 2023","407","","DELETE /account/v1/user/{uuid}","","DELETE /account/v1/user/{uuid}"," Doesn't delete user with invalid user UUID(200)"," Doesn't delete user with invalid user UUID(200)",""
"passed","Mon Feb 20 09:34:00 UTC 2023","Mon Feb 20 09:34:00 UTC 2023","393","","POST /account/v1/user","","POST /account/v1/user"," Doesn't create user, Invalid password(400)"," Doesn't create user, Invalid password(400)",""
"passed","Mon Feb 20 09:34:04 UTC 2023","Mon Feb 20 09:34:05 UTC 2023","391","","POST /account/v1/authorized","","POST /account/v1/authorized"," Doesn't auth user, empty payload(400)"," Doesn't auth user, empty payload(400)",""
"passed","Mon Feb 20 09:33:54 UTC 2023","Mon Feb 20 09:33:55 UTC 2023","396","","GET /bookStore/v1/book","","GET /bookStore/v1/book","Gets book (9781449337711) info (200)","Gets book (9781449337711) info (200)",""
"passed","Mon Feb 20 09:34:02 UTC 2023","Mon Feb 20 09:34:03 UTC 2023","420","","DELETE /account/v1/user/{uuid}","","DELETE /account/v1/user/{uuid}"," Doesn't delete user with invalid token(401)"," Doesn't delete user with invalid token(401)",""
"passed","Mon Feb 20 09:33:54 UTC 2023","Mon Feb 20 09:33:54 UTC 2023","405","","GET /bookStore/v1/book","","GET /bookStore/v1/book","Gets book (9781449331818) info (200)","Gets book (9781449331818) info (200)",""
"passed","Mon Feb 20 09:33:51 UTC 2023","Mon Feb 20 09:33:52 UTC 2023","883","","DELETE /bookStore/v1/book","","DELETE /bookStore/v1/book"," Deletes book (200)"," Deletes book (200)",""
"passed","Mon Feb 20 09:34:08 UTC 2023","Mon Feb 20 09:34:08 UTC 2023","398","","GET /account/v1/user/{ uuid }","","GET /account/v1/user/{ uuid }"," Doesn't get user info if used invalid token(401)"," Doesn't get user info if used invalid token(401)",""
"passed","Mon Feb 20 09:33:57 UTC 2023","Mon Feb 20 09:33:57 UTC 2023","393","","GET /bookStore/v1/book","","GET /bookStore/v1/book","Doesn't get books info if ISBN not exists (400)","Doesn't get books info if ISBN not exists (400)",""
"passed","Mon Feb 20 09:34:05 UTC 2023","Mon Feb 20 09:34:06 UTC 2023","580","","POST /account/v1/generatetoken","","POST /account/v1/generatetoken"," Doesn't generates token if user doesn't exists(200)"," Doesn't generates token if user doesn't exists(200)",""
"passed","Mon Feb 20 09:33:47 UTC 2023","Mon Feb 20 09:33:48 UTC 2023","829","","POST /bookStore/v1/books","","POST /bookStore/v1/books"," Doesn't create list if ISBN is already in the list(400)"," Doesn't create list if ISBN is already in the list(400)",""
"passed","Mon Feb 20 09:33:50 UTC 2023","Mon Feb 20 09:33:51 UTC 2023","409","","PUT /bookStore/v1/books/{ISBN}","","PUT /bookStore/v1/books/{ISBN}"," Doesn't update book if User not authorized (401)"," Doesn't update book if User not authorized (401)",""
"passed","Mon Feb 20 09:33:56 UTC 2023","Mon Feb 20 09:33:56 UTC 2023","380","","GET /bookStore/v1/book","","GET /bookStore/v1/book","Gets book (9781593275846) info (200)","Gets book (9781593275846) info (200)",""
"passed","Mon Feb 20 09:33:55 UTC 2023","Mon Feb 20 09:33:55 UTC 2023","398","","GET /bookStore/v1/book","","GET /bookStore/v1/book","Gets book (9781449365035) info (200)","Gets book (9781449365035) info (200)",""
"passed","Mon Feb 20 09:33:48 UTC 2023","Mon Feb 20 09:33:50 UTC 2023","1302","","PUT /bookStore/v1/books/{ISBN}","","PUT /bookStore/v1/books/{ISBN}"," Updates book (200)"," Updates book (200)",""
"passed","Mon Feb 20 09:34:03 UTC 2023","Mon Feb 20 09:34:04 UTC 2023","452","","DELETE /account/v1/user/{uuid}","","DELETE /account/v1/user/{uuid}"," Deletes user with valid UUID & token(200)"," Deletes user with valid UUID & token(200)",""
"passed","Mon Feb 20 09:34:05 UTC 2023","Mon Feb 20 09:34:05 UTC 2023","551","","POST /account/v1/generatetoken","","POST /account/v1/generatetoken"," Generates new token, User exists(200)"," Generates new token, User exists(200)",""
"passed","Mon Feb 20 09:34:04 UTC 2023","Mon Feb 20 09:34:04 UTC 2023","445","","POST /account/v1/authorized","","POST /account/v1/authorized"," Doesn't auth user if user doesn't exists(404)"," Doesn't auth user if user doesn't exists(404)",""
"passed","Mon Feb 20 09:33:55 UTC 2023","Mon Feb 20 09:33:56 UTC 2023","408","","GET /bookStore/v1/book","","GET /bookStore/v1/book","Gets book (9781491950296) info (200)","Gets book (9781491950296) info (200)",""
"passed","Mon Feb 20 09:34:05 UTC 2023","Mon Feb 20 09:34:05 UTC 2023","400","","POST /account/v1/authorized","","POST /account/v1/authorized"," Authorizes user with valid credentials(200)"," Authorizes user with valid credentials(200)",""
"passed","Mon Feb 20 09:33:47 UTC 2023","Mon Feb 20 09:33:47 UTC 2023","392","","POST /bookStore/v1/books","","POST /bookStore/v1/books"," Doesn't create list if list empty(400)"," Doesn't create list if list empty(400)",""
